"name","year","movie_rated","run_length","genres","release_date","rating","num_raters","num_reviews","review_url"
"The Shawshank Redemption","1994","R","2h 22min","Drama; ","14 October 1994 (USA)","9.3","2258845","8022","https://www.imdb.com/title/tt0111161/reviews/_ajax?ref_=undefined&paginationKey="
"The Dark Knight","2008","PG-13","2h 32min","Action; Crime; Drama; ","18 July 2008 (USA)","9.0","2224522","6836","https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey="
"Fight Club","1999","R","2h 19min","Drama; ","15 October 1999 (USA)","8.8","1794454","3719","https://www.imdb.com/title/tt0137523/reviews/_ajax?ref_=undefined&paginationKey="
"Pulp Fiction","1994","R","2h 34min","Crime; Drama; ","14 October 1994 (USA)","8.9","1767445","3014","https://www.imdb.com/title/tt0110912/reviews/_ajax?ref_=undefined&paginationKey="
"Forrest Gump","1994","PG-13","2h 22min","Drama; Romance; ","6 July 1994 (USA)","8.8","1741097","2354","https://www.imdb.com/title/tt0109830/reviews/_ajax?ref_=undefined&paginationKey="
"The Lord of the Rings: The Fellowship of the Ring","2001","PG-13","2h 58min","Action; Adventure; Drama; ","19 December 2001 (USA)","8.8","1609165","5365","https://www.imdb.com/title/tt0120737/reviews/_ajax?ref_=undefined&paginationKey="
"The Lord of the Rings: The Return of the King","2003","PG-13","3h 21min","Adventure; Drama; Fantasy; ","17 December 2003 (USA)","8.9","1593859","3681","https://www.imdb.com/title/tt0167260/reviews/_ajax?ref_=undefined&paginationKey="
"The Godfather","1972","R","2h 55min","Crime; Drama; ","24 March 1972 (USA)","9.2","1558661","3886","https://www.imdb.com/title/tt0068646/reviews/_ajax?ref_=undefined&paginationKey="
"The Lord of the Rings: The Two Towers","2002","PG-13","2h 59min","Adventure; Drama; Fantasy; ","18 December 2002 (USA)","8.7","1440188","2559","https://www.imdb.com/title/tt0167261/reviews/_ajax?ref_=undefined&paginationKey="
"Interstellar","2014","PG-13","2h 49min","Adventure; Drama; Sci-Fi; ","7 November 2014 (USA)","8.6","1430797","3977","https://www.imdb.com/title/tt0816692/reviews/_ajax?ref_=undefined&paginationKey="
"Se7en","1995","R","2h 7min","Crime; Drama; Mystery; ","22 September 1995 (USA)","8.6","1390231","1460","https://www.imdb.com/title/tt0114369/reviews/_ajax?ref_=undefined&paginationKey="
"Django Unchained","2012","R","2h 45min","Drama; Western; ","25 December 2012 (USA)","8.4","1307059","1525","https://www.imdb.com/title/tt1853728/reviews/_ajax?ref_=undefined&paginationKey="
"Gladiator","2000","R","2h 35min","Action; Adventure; Drama; ","5 May 2000 (USA)","8.5","1297718","2636","https://www.imdb.com/title/tt0172495/reviews/_ajax?ref_=undefined&paginationKey="
"The Silence of the Lambs","1991","R","1h 58min","Crime; Drama; Thriller; ","14 February 1991 (USA)","8.6","1223451","1298","https://www.imdb.com/title/tt0102926/reviews/_ajax?ref_=undefined&paginationKey="
"Inglourious Basterds","2009","R","2h 33min","Adventure; Drama; War; ","21 August 2009 (USA)","8.3","1219372","1856","https://www.imdb.com/title/tt0361748/reviews/_ajax?ref_=undefined&paginationKey="
"Saving Private Ryan","1998","R","2h 49min","Drama; War; ","24 July 1998 (USA)","8.6","1194194","2588","https://www.imdb.com/title/tt0120815/reviews/_ajax?ref_=undefined&paginationKey="
"Schindler's List","1993","R","3h 15min","Biography; Drama; History; ","4 February 1994 (USA)","8.9","1173324","1814","https://www.imdb.com/title/tt0108052/reviews/_ajax?ref_=undefined&paginationKey="
"The Departed","2006","R","2h 31min","Crime; Drama; Thriller; ","6 October 2006 (USA)","8.5","1150788","2313","https://www.imdb.com/title/tt0407887/reviews/_ajax?ref_=undefined&paginationKey="
"The Prestige","2006","PG-13","2h 10min","Drama; Mystery; Sci-Fi; ","20 October 2006 (USA)","8.5","1144513","1394","https://www.imdb.com/title/tt0482571/reviews/_ajax?ref_=undefined&paginationKey="
